#,Table Name,Column Name,Description,Format/Unit of measure,DATA_TYPE,Alter SQL
933,pension.PensionInterestRateRisk,CorePlus_Duration,Core Plus Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorePlus_Duration decimal(18, 16) null"
934,pension.PensionInterestRateRisk,FIEmerg_MktVal,Fixed Income Emerging Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIEmerg_MktVal decimal(18, 2) null"
935,pension.PensionInterestRateRisk,FIEmerg_Duration,Fixed Income Emerging Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIEmerg_Duration decimal(18, 16) null"
936,pension.PensionInterestRateRisk,EmgMkt_MktVal,Emerging Market Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column EmgMkt_MktVal decimal(18, 2) null"
937,pension.PensionInterestRateRisk,EmgMkt_Duration,Emerging Market Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column EmgMkt_Duration decimal(18, 16) null"
938,pension.PensionInterestRateRisk,FIHighYield_MktVal,Fixed Income High Yield Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIHighYield_MktVal decimal(18, 2) null"
939,pension.PensionInterestRateRisk,FIHighYield_Duration,Fixed Income High Yield Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIHighYield_Duration decimal(18, 16) null"
940,pension.PensionInterestRateRisk,FIMortgage_MktVal,Fixed Income Mortgage Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIMortgage_MktVal decimal(18, 2) null"
941,pension.PensionInterestRateRisk,FIMortgage_Duration,Fixed Income Mortgage Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIMortgage_Duration decimal(18, 16) null"
942,pension.PensionInterestRateRisk,FIInvestGrd_MktVal,Fixed Income -- Investment Grade Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIInvestGrd_MktVal decimal(18, 2) null"
943,pension.PensionInterestRateRisk,FIInvestGrd_Duration,Fixed Income -- Investment Grade Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FIInvestGrd_Duration decimal(18, 16) null"
944,pension.PensionInterestRateRisk,FI_MktVal,Fixed Income Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FI_MktVal decimal(18, 2) null"
945,pension.PensionInterestRateRisk,FI_Duration,Fixed Income Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FI_Duration decimal(18, 16) null"
946,pension.PensionInterestRateRisk,FICorpBonds_MktVal,Fixed Income Corporate Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FICorpBonds_MktVal decimal(18, 2) null"
947,pension.PensionInterestRateRisk,FICorpBonds_Duration,Fixed Income Corporate Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FICorpBonds_Duration decimal(18, 16) null"
948,pension.PensionInterestRateRisk,BnkLns_MktVal,Bank Loans Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column BnkLns_MktVal decimal(18, 2) null"
949,pension.PensionInterestRateRisk,BnkLns_Duration,Bank Loans Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column BnkLns_Duration decimal(18, 16) null"
950,pension.PensionInterestRateRisk,RepchseAgree_MktVal,Repurchase Agreement Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column RepchseAgree_MktVal decimal(18, 2) null"
951,pension.PensionInterestRateRisk,RepchseAgree_Duration,Repurchase Agreement Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column RepchseAgree_Duration decimal(18, 16) null"
952,pension.PensionInterestRateRisk,BankDep_MktVal,Bank Deposits Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column BankDep_MktVal decimal(18, 2) null"
953,pension.PensionInterestRateRisk,BankDep_Duration,Bank Deposits Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column BankDep_Duration decimal(18, 16) null"
954,pension.PensionInterestRateRisk,CD_MktVal,Certificate of Deposit Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CD_MktVal decimal(18, 2) null"
955,pension.PensionInterestRateRisk,CD_Duration,Certificate of Deposit Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CD_Duration decimal(18, 16) null"
956,pension.PensionInterestRateRisk,CnvtbBond_MktVal,Convertible Bond Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CnvtbBond_MktVal decimal(18, 2) null"
957,pension.PensionInterestRateRisk,CnvtbBond_Duration,Convertible Bond Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CnvtbBond_Duration decimal(18, 16) null"
958,pension.PensionInterestRateRisk,Cash_MktVal,Cash Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Cash_MktVal decimal(18, 2) null"
959,pension.PensionInterestRateRisk,Cash_Duration,Cash Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Cash_Duration decimal(18, 16) null"
960,pension.PensionInterestRateRisk,MncplBond_MktVal,Municipal Bond Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MncplBond_MktVal decimal(18, 2) null"
961,pension.PensionInterestRateRisk,MncplBond_Duration,Municipal Bond Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MncplBond_Duration decimal(18, 16) null"
962,pension.PensionInterestRateRisk,Yankee_MktVal,Yankee Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Yankee_MktVal decimal(18, 2) null"
963,pension.PensionInterestRateRisk,Yankee_Duration,Yankee Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Yankee_Duration decimal(18, 16) null"
964,pension.PensionInterestRateRisk,YnkeeCorp_MktVal,Yankee Corporate Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column YnkeeCorp_MktVal decimal(18, 2) null"
965,pension.PensionInterestRateRisk,YnkeeCorp_Duration,Yankee Corporate Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column YnkeeCorp_Duration decimal(18, 16) null"
966,pension.PensionInterestRateRisk,CommFnd_MktVal,Commingled Fund Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CommFnd_MktVal decimal(18, 2) null"
967,pension.PensionInterestRateRisk,CommFnd_Duration,Commingled Fund Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CommFnd_Duration decimal(18, 16) null"
968,pension.PensionInterestRateRisk,Swaps_MktVal,Swaps Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Swaps_MktVal decimal(18, 2) null"
969,pension.PensionInterestRateRisk,Swaps_Duration,Swaps Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Swaps_Duration decimal(18, 16) null"
970,pension.PensionInterestRateRisk,CrdtOblg_MktVal,Credit Obligations Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CrdtOblg_MktVal decimal(18, 2) null"
971,pension.PensionInterestRateRisk,CrdtOblg_Duration,Credit Obligations Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CrdtOblg_Duration decimal(18, 16) null"
972,pension.PensionInterestRateRisk,LvgdLoan_MktVal,Leveraged Loan Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column LvgdLoan_MktVal decimal(18, 2) null"
973,pension.PensionInterestRateRisk,LvgdLoan_Duration,Leveraged Loan Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column LvgdLoan_Duration decimal(18, 16) null"
974,pension.PensionInterestRateRisk,BnkFin_MktVal,Corporate (Bank and Finance) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column BnkFin_MktVal decimal(18, 2) null"
975,pension.PensionInterestRateRisk,BnkFin_Duration,Corporate (Bank and Finance) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column BnkFin_Duration decimal(18, 16) null"
976,pension.PensionInterestRateRisk,Industrials_MktVal,Industrials Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Industrials_MktVal decimal(18, 2) null"
977,pension.PensionInterestRateRisk,Industrials_Duration,Industrials Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Industrials_Duration decimal(18, 16) null"
978,pension.PensionInterestRateRisk,Utilities_MktVal,Utilities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Utilities_MktVal decimal(18, 2) null"
979,pension.PensionInterestRateRisk,Utilities_Duration,Utilities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Utilities_Duration decimal(18, 16) null"
980,pension.PensionInterestRateRisk,DebtTransn_MktVal,Debt Transition Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column DebtTransn_MktVal decimal(18, 2) null"
981,pension.PensionInterestRateRisk,DebtTransn_Duration,Debt Transition Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column DebtTransn_Duration decimal(18, 16) null"
982,pension.PensionInterestRateRisk,SpclSit_MktVal,Special Situation Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column SpclSit_MktVal decimal(18, 2) null"
983,pension.PensionInterestRateRisk,SpclSit_Duration,Special Situation Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column SpclSit_Duration decimal(18, 16) null"
984,pension.PensionInterestRateRisk,SmthGrhm_MktVal,Smith Graham External Holdings Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column SmthGrhm_MktVal decimal(18, 2) null"
985,pension.PensionInterestRateRisk,SmthGrhm_Duration,Smith Graham External Holdings Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column SmthGrhm_Duration decimal(18, 16) null"
986,pension.PensionInterestRateRisk,RegInvstmt_MktVal,Regulated Investment Company Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column RegInvstmt_MktVal decimal(18, 2) null"
987,pension.PensionInterestRateRisk,RegInvstmt_Duration,Regulated Investment Company Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column RegInvstmt_Duration decimal(18, 16) null"
988,pension.PensionInterestRateRisk,BlackRock_MktVal,Black Rock External Holdings Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column BlackRock_MktVal decimal(18, 2) null"
989,pension.PensionInterestRateRisk,BlackRock_Duration,Black Rock External Holdings Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column BlackRock_Duration decimal(18, 16) null"
990,pension.PensionInterestRateRisk,MortAsstBckd_MktVal,Mortgages and Asset Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MortAsstBckd_MktVal decimal(18, 2) null"
991,pension.PensionInterestRateRisk,MortAsstBckd_Duration,Mortgages and Asset Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MortAsstBckd_Duration decimal(18, 16) null"
992,pension.PensionInterestRateRisk,CollatBond_MktVal,Collateralized Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CollatBond_MktVal decimal(18, 2) null"
993,pension.PensionInterestRateRisk,CollatBond_Duration,Collateralized Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CollatBond_Duration decimal(18, 16) null"
994,pension.PensionInterestRateRisk,SupraBond_MktVal,Supranational Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column SupraBond_MktVal decimal(18, 2) null"
995,pension.PensionInterestRateRisk,SupraBond_Duration,Supranational Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column SupraBond_Duration decimal(18, 16) null"
996,pension.PensionInterestRateRisk,Covered_MktVal,Covered Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Covered_MktVal decimal(18, 2) null"
997,pension.PensionInterestRateRisk,Covered_Duration,Covered Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Covered_Duration decimal(18, 16) null"
998,pension.PensionInterestRateRisk,GinnieMae_MktVal,GinnieMae Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GinnieMae_MktVal decimal(18, 2) null"
999,pension.PensionInterestRateRisk,GinnieMae_Duration,GinnieMae Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GinnieMae_Duration decimal(18, 16) null"
1000,pension.PensionInterestRateRisk,FreddieMac_MktVal,FreddieMac Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FreddieMac_MktVal decimal(18, 2) null"
1001,pension.PensionInterestRateRisk,FreddieMac_Duration,FreddieMac Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FreddieMac_Duration decimal(18, 16) null"
1002,pension.PensionInterestRateRisk,FannieMae_MktVal,FannieMae Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FannieMae_MktVal decimal(18, 2) null"
1003,pension.PensionInterestRateRisk,FannieMae_Duration,FannieMae Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FannieMae_Duration decimal(18, 16) null"
1004,pension.PensionInterestRateRisk,FreddieMacMulti_MktVal,FreddieMac (Multiclass) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FreddieMacMulti_MktVal decimal(18, 2) null"
1005,pension.PensionInterestRateRisk,FreddieMacMulti_Duration,FreddieMac (Multiclass) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FreddieMacMulti_Duration decimal(18, 16) null"
1006,pension.PensionInterestRateRisk,Sukuk_MktVal,Sukuk Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Sukuk_MktVal decimal(18, 2) null"
1007,pension.PensionInterestRateRisk,Sukuk_Duration,Sukuk Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Sukuk_Duration decimal(18, 16) null"
1008,pension.PensionInterestRateRisk,StrctdPrdct_MktVal,Structured Products Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column StrctdPrdct_MktVal decimal(18, 2) null"
1009,pension.PensionInterestRateRisk,StrctdPrdct_Duration,Structured Products Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column StrctdPrdct_Duration decimal(18, 16) null"
1010,pension.PensionInterestRateRisk,CorpEqty_MktVal,Corporate Equity Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpEqty_MktVal decimal(18, 2) null"
1011,pension.PensionInterestRateRisk,CorpEqty_Duration,Corporate Equity Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpEqty_Duration decimal(18, 16) null"
1012,pension.PensionInterestRateRisk,BondFund_MktVal,Bond Fund Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column BondFund_MktVal decimal(18, 2) null"
1013,pension.PensionInterestRateRisk,BondFund_Duration,Bond Fund Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column BondFund_Duration decimal(18, 16) null"
1014,pension.PensionInterestRateRisk,ComPaper_MktVal,Commercial Paper Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ComPaper_MktVal decimal(18, 2) null"
1015,pension.PensionInterestRateRisk,ComPaper_Duration,Commercial Paper Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ComPaper_Duration decimal(18, 16) null"
1016,pension.PensionInterestRateRisk,MoneyMkt_MktVal,Money Market Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MoneyMkt_MktVal decimal(18, 2) null"
1017,pension.PensionInterestRateRisk,MoneyMkt_Duration,Money Market Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MoneyMkt_Duration decimal(18, 16) null"
1018,pension.PensionInterestRateRisk,GovSpnsEntDebt_MktVal,Government Sponsored Entity Debt Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovSpnsEntDebt_MktVal decimal(18, 2) null"
1019,pension.PensionInterestRateRisk,GovSpnsEntDebt_Duration,Government Sponsored Entity Debt Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovSpnsEntDebt_Duration decimal(18, 16) null"
1020,pension.PensionInterestRateRisk,PoolGovSpns_MktVal,Pools of Government Sponsored Entities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column PoolGovSpns_MktVal decimal(18, 2) null"
1021,pension.PensionInterestRateRisk,PoolGovSpns_Duration,Pools of Government Sponsored Entities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column PoolGovSpns_Duration decimal(18, 16) null"
1022,pension.PensionInterestRateRisk,ProvBond_MktVal,Provincial Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ProvBond_MktVal decimal(18, 2) null"
1023,pension.PensionInterestRateRisk,ProvBond_Duration,Provincial Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ProvBond_Duration decimal(18, 16) null"
1024,pension.PensionInterestRateRisk,Sovereign_MktVal,Sovereigns Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Sovereign_MktVal decimal(18, 2) null"
1025,pension.PensionInterestRateRisk,Sovereign_Duration,Sovereigns Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Sovereign_Duration decimal(18, 16) null"
1026,pension.PensionInterestRateRisk,IntBearSTCert_MktVal,Interest-Bearing Short Term Certificate Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntBearSTCert_MktVal decimal(18, 2) null"
1027,pension.PensionInterestRateRisk,IntBearSTCert_Duration,Interest-Bearing Short Term Certificate Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntBearSTCert_Duration decimal(18, 16) null"
1028,pension.PensionInterestRateRisk,Futures_MktVal,Futures Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Futures_MktVal decimal(18, 2) null"
1029,pension.PensionInterestRateRisk,Futures_Duration,Futures Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Futures_Duration decimal(18, 16) null"
1030,pension.PensionInterestRateRisk,ExchgTradeFnd_MktVal,Exchange Traded Funds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ExchgTradeFnd_MktVal decimal(18, 2) null"
1031,pension.PensionInterestRateRisk,ExchgTradeFnd_Duration,Exchange Traded Funds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ExchgTradeFnd_Duration decimal(18, 16) null"
1032,pension.PensionInterestRateRisk,ExchgTradeFndShrtPos_MktVal,Exchange Traded Funds Short Positions Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ExchgTradeFndShrtPos_MktVal decimal(18, 2) null"
1033,pension.PensionInterestRateRisk,ExchgTradeFndShrtPos_Duration,Exchange Traded Funds Short Positions Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ExchgTradeFndShrtPos_Duration decimal(18, 16) null"
1034,pension.PensionInterestRateRisk,Loans_MktVal,Loans Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Loans_MktVal decimal(18, 2) null"
1035,pension.PensionInterestRateRisk,Loans_Duration,Loans Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Loans_Duration decimal(18, 16) null"
1036,pension.PensionInterestRateRisk,QuasiSovrgn_MktVal,Quasi-Sovereigns Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column QuasiSovrgn_MktVal decimal(18, 2) null"
1037,pension.PensionInterestRateRisk,QuasiSovrgn_Duration,Quasi-Sovereigns Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column QuasiSovrgn_Duration decimal(18, 16) null"
1038,pension.PensionInterestRateRisk,Credit_MktVal,Credit Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Credit_MktVal decimal(18, 2) null"
1039,pension.PensionInterestRateRisk,Credit_Duration,Credit Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Credit_Duration decimal(18, 16) null"
1040,pension.PensionInterestRateRisk,PrefStck_MktVal,Preferred Stock Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column PrefStck_MktVal decimal(18, 2) null"
1041,pension.PensionInterestRateRisk,PrefStck_Duration,Preferred Stock Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column PrefStck_Duration decimal(18, 16) null"
1042,pension.PensionInterestRateRisk,ConvtPref_MktVal,Convertible Preferred Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ConvtPref_MktVal decimal(18, 2) null"
1043,pension.PensionInterestRateRisk,ConvtPref_Duration,Convertible Preferred Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ConvtPref_Duration decimal(18, 16) null"
1044,pension.PensionInterestRateRisk,MarginAcc_MktVal,Margin Accounts Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MarginAcc_MktVal decimal(18, 2) null"
1045,pension.PensionInterestRateRisk,MarginAcc_Duration,Margin Accounts Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MarginAcc_Duration decimal(18, 16) null"
1046,pension.PensionInterestRateRisk,MutualFund_MktVal,Mutual Funds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MutualFund_MktVal decimal(18, 2) null"
1047,pension.PensionInterestRateRisk,MutualFund_Duration,Mutual Funds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MutualFund_Duration decimal(18, 16) null"
1048,pension.PensionInterestRateRisk,OSGP_MktVal,Mutual Funds -- OSGP -- Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column OSGP_MktVal decimal(18, 2) null"
1056,pension.PensionInvestmentFees,est_proportion,This variable reflects the proportionate share of reported holdings to be allocated to the plan (to account for the fact that holdings are sometimes reported for a fund or system that includes more than one plan).,Percentage point,nvarchar,"alter table pension.PensionInvestmentFees alter column est_proportion decimal(7, 5) null"
1057,pension.PensionInvestmentFees,EQTotal_Fee,Total equity fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column EQTotal_Fee decimal(18, 2) null"
1058,pension.PensionInvestmentFees,FITotal_Fee,Total fixed income fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column FITotal_Fee decimal(18, 2) null"
1059,pension.PensionInvestmentFees,RETotal_Fee,Total real estate fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column RETotal_Fee decimal(18, 2) null"
1060,pension.PensionInvestmentFees,AltMiscTotal_Fee,Total misc. alternative fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column AltMiscTotal_Fee decimal(18, 2) null"
1061,pension.PensionInvestmentFees,PETotal_Fee,Total private equity fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column PETotal_Fee decimal(18, 2) null"
1062,pension.PensionInvestmentFees,HFTotal_Fee,Total hedge fund fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column HFTotal_Fee decimal(18, 2) null"
1063,pension.PensionInvestmentFees,COMDTotal_Fee,Total commodity fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column COMDTotal_Fee decimal(18, 2) null"
1064,pension.PensionInvestmentFees,CashTotal_Fee,Total cash fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column CashTotal_Fee decimal(18, 2) null"
1065,pension.PensionInvestmentFees,OtherTotal_Fee,Total other fees,$000s,nvarchar,"alter table pension.PensionInvestmentFees alter column OtherTotal_Fee decimal(18, 2) null"
1426,pension.PensionTopStocksTopBonds,Bond1_couponrate,Largest bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond1_couponrate decimal(18, 16) null"
1430,pension.PensionTopStocksTopBonds,Bond2_couponrate,Second bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond2_couponrate decimal(18, 16) null"
1434,pension.PensionTopStocksTopBonds,Bond3_couponrate,Third bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond3_couponrate decimal(18, 16) null"
1438,pension.PensionTopStocksTopBonds,Bond4_couponrate,Fourth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond4_couponrate decimal(18, 16) null"
1442,pension.PensionTopStocksTopBonds,Bond5_couponrate,Fifth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond5_couponrate decimal(18, 16) null"
1446,pension.PensionTopStocksTopBonds,Bond6_couponrate,Sixth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond6_couponrate decimal(18, 16) null"
1450,pension.PensionTopStocksTopBonds,Bond7_couponrate,Seventh bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond7_couponrate decimal(18, 16) null"
1454,pension.PensionTopStocksTopBonds,Bond8_couponrate,Eighth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond8_couponrate decimal(18, 16) null"
1458,pension.PensionTopStocksTopBonds,Bond9_couponrate,Ninth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond9_couponrate decimal(18, 16) null"
1462,pension.PensionTopStocksTopBonds,Bond10_couponrate,Tenth bond coupon rate,0.0-9.0,nvarchar,"alter table pension.PensionTopStocksTopBonds alter column Bond10_couponrate decimal(18, 16) null"
